,0,400,800,1200,1600,2000,2400,2800
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
40,0.000111,0.000014,0.000014,0,0.000028,0,0,0
42,0.007366,0.00541,0.004994,0.00154,0.009877,0.002317,0.007782,0.000042
44,0.021126,0.02354,0.030448,0.010778,0.018422,0.018588,0.022736,0.013247
46,0.016854,0.011638,0.019309,0.016632,0.008698,0.013955,0.014191,0.020169
48,0.004966,0.001429,0.002233,0.008961,0.001457,0.001928,0.002011,0.010237
50,0.001401,0.000818,0.000957,0.004092,0.000596,0.000957,0.000721,0.004051
52,0.001096,0.000472,0.000957,0.00197,0.000541,0.000596,0.000971,0.001304
54,0.001776,0.000721,0.001235,0.001734,0.000999,0.001124,0.002108,0.001776
56,0.002164,0.001124,0.001567,0.001137,0.000999,0.001387,0.001873,0.001748
58,0.401972,0.04106,0.214844,0.158955,0.684384,0.08237,0.28244,0.035081
60,1.119621,2.014535,1.605405,1.336878,1.24373,1.791715,0.960874,1.098591
62,0.381997,0.11089,0.300348,0.485285,0.137343,0.226759,0.568542,0.69329
64,0.077515,0.03196,0.055126,0.101984,0.032265,0.027161,0.149051,0.094424
66,0.026869,0.011,0.013192,0.058497,0.012165,0.009363,0.048079,0.030379
68,0.01236,0.007199,0.010473,0.03651,0.022111,0.00713,0.059606,0.02784
70,0.016008,0.016396,0.010903,0.023776,0.031461,0.014066,0.133681,0.202789
72,0.025829,0.019864,0.00627,0.010778,0.026481,0.019129,0.069566,0.093786
74,0.078097,0.026023,0.051755,0.043807,0.069719,0.050312,0.023984,0.01383
76,0.100389,0.051297,0.059801,0.060952,0.044902,0.090152,0.012928,0.008864
78,0.020738,0.004841,0.007907,0.009377,0.007671,0.008462,0.011985,0.013303
80,0.010001,0.003218,0.003745,0.00516,0.007338,0.004938,0.008698,0.010584
82,0.009322,0.004009,0.003787,0.004716,0.009502,0.005937,0.003731,0.002441
84,0.011513,0.00233,0.003052,0.003829,0.004425,0.007227,0.002317,0.001457
86,0.005576,0.001124,0.00111,0.001512,0.002372,0.001498,0.001678,0.001096
88,0.005673,0.002206,0.001443,0.0019,0.002774,0.002455,0.001789,0.00541
90,0.002913,0.000638,0.000749,0.001498,0.002358,0.001165,0.002067,0.005521
92,0.002469,0.000694,0.000805,0.001262,0.001332,0.000721,0.000943,0.002733
94,0.003385,0.000513,0.000735,0.001124,0.001137,0.000555,0.000999,0.002511
96,0.004481,0.000513,0.00068,0.000916,0.000929,0.000749,0.001359,0.001082
98,0.003496,0.000264,0.00025,0.000527,0.000416,0.000458,0.001151,0.000583
100,0.002344,0.000139,0.000291,0.000361,0.000347,0.000264,0.000555,0.000527
102,0.001817,0.000305,0.000166,0.000236,0.000402,0.000222,0.000707,0.00043
104,0.001748,0.00018,0.00018,0.000153,0.000513,0.000277,0.000375,0.000139
106,0.001984,0.000499,0.000111,0.000153,0.00043,0.000486,0.000236,0.00018
108,0.002247,0.00068,0.000596,0.000402,0.001512,0.000444,0.00104,0.000139
110,0.005396,0.006964,0.006589,0.003093,0.005563,0.004689,0.007199,0.002247
112,0.010556,0.008989,0.011735,0.007158,0.008822,0.008822,0.010376,0.007629
114,0.008711,0.007213,0.007851,0.00713,0.005618,0.006783,0.006617,0.007047
116,0.006478,0.001956,0.00276,0.005465,0.001706,0.002108,0.002095,0.005382
118,0.00283,0.000652,0.001054,0.003288,0.000624,0.000624,0.00086,0.002982
120,0.001859,0.000319,0.000694,0.00172,0.00043,0.000333,0.000929,0.001526
122,0.001789,0.000305,0.000236,0.000805,0.000277,0.000402,0.00104,0.00111
124,0.002053,0.000347,0.000458,0.000388,0.000458,0.00043,0.000583,0.000472
126,0.00215,0.00086,0.001276,0.000513,0.000361,0.001221,0.000291,0.000388
128,0.002067,0.000694,0.000957,0.000458,0.000486,0.001165,0.000361,0.00025
130,0.001692,0.000527,0.000874,0.000361,0.000333,0.00086,0.000208,0.000305
132,0.001304,0.000222,0.000277,0.000208,0.000208,0.000375,0.000139,0.000139
134,0.00111,0.000194,0.000319,0.000166,0.000222,0.000347,0.000083,0.000139
136,0.000846,0.000097,0.00018,0.000139,0.000222,0.000208,0.000139,0.000236
138,0.000902,0.000069,0.000166,0.000166,0.000125,0.000291,0.000125,0.000194
140,0.00068,0.000097,0.000166,0.000277,0.000069,0.000125,0.000111,0.00025
142,0.000694,0.000139,0.000139,0.000194,0.000125,0.000194,0.000166,0.000333
144,0.000707,0.000139,0.000319,0.000139,0.00018,0.000194,0.00018,0.000555
146,0.000638,0.000055,0.000236,0.000222,0.000236,0.000222,0.000153,0.000652
148,0.000416,0.000194,0.000194,0.000166,0.000236,0.00025,0.000208,0.00086
150,0.000583,0.000153,0.000166,0.000236,0.000125,0.000166,0.000153,0.000874
152,0.000527,0.000042,0.000194,0.000166,0.000139,0.000097,0.000139,0.000666
154,0.000916,0.000028,0.000721,0.000153,0.000583,0.000097,0.000083,0.001054
156,0.000638,0.000097,0.000749,0.000125,0.000291,0.000069,0.000028,0.000791
158,0.004675,0.000208,0.000846,0.000638,0.00498,0.000375,0.000888,0.000375
160,0.049855,0.027369,0.043044,0.036815,0.067264,0.030698,0.031336,0.012845
162,0.26664,0.200958,0.277433,0.213595,0.383745,0.203275,0.209933,0.102941
164,0.525318,0.710741,0.57527,0.524777,0.494274,0.650108,0.455891,0.429993
166,0.302415,0.239466,0.284077,0.309101,0.241824,0.263367,0.296631,0.268041
168,0.158345,0.17291,0.154544,0.180359,0.120212,0.174477,0.193842,0.231074
170,0.044791,0.018754,0.032571,0.062714,0.023693,0.023415,0.070246,0.118713
172,0.020613,0.009918,0.012429,0.032473,0.021099,0.010334,0.05249,0.075781
174,0.098849,0.036579,0.062533,0.065682,0.134485,0.042544,0.110085,0.100112
176,0.533045,0.407992,0.516385,0.371052,0.703819,0.43138,0.406203,0.248385
178,2.011316,1.509871,2.02849,1.607402,2.804552,1.689869,1.518707,1.048057
180,6.113697,7.008445,8.47555,7.221749,9.41151,7.322277,5.954798,4.724274
182,8.25764,11.890231,9.593645,8.880199,8.559543,10.452631,8.787606,9.64841
184,5.870001,6.279907,5.914237,6.334867,4.731834,6.035503,5.91482,6.323658
186,2.594868,1.775776,1.842957,2.6254,1.214822,1.825381,2.845778,2.983717
188,0.696439,0.246041,0.36868,0.929968,0.312875,0.237552,1.060611,0.81561
190,0.353407,0.183508,0.170344,0.528842,0.34661,0.155973,1.110132,1.157809
192,0.552049,0.373466,0.367709,0.492096,0.706399,0.393594,1.381101,1.672086
194,1.292059,1.117998,1.082694,1.07931,1.372375,1.154258,1.396415,1.522439
196,1.623008,1.217832,1.307442,1.241247,1.257616,1.527322,1.03302,1.098078
198,1.116638,0.57448,0.716567,0.789198,0.657057,0.831798,0.54718,0.554463
200,0.645669,0.305328,0.348053,0.419256,0.292553,0.445501,0.311737,0.335569
202,0.257554,0.07653,0.099737,0.161785,0.132876,0.118311,0.170413,0.177266
204,0.213262,0.062006,0.073825,0.108851,0.16295,0.102983,0.169497,0.166154
206,0.445806,0.306577,0.377919,0.314997,0.508562,0.347332,0.35915,0.244071
208,1.594516,0.873663,1.122672,1.107414,1.988983,0.859528,1.018968,0.610754
210,5.253254,5.788866,6.905407,6.335421,7.586947,6.240331,5.190735,4.620528
212,6.941501,9.366441,8.503737,7.425953,8.094344,8.666396,7.398515,7.654488
214,5.941315,7.551741,6.685111,6.250971,5.554657,6.922996,6.127167,6.178714
216,3.213751,2.841145,2.585685,3.301683,1.848075,2.633417,3.249498,3.546337
218,1.218761,0.443171,0.595856,1.223907,0.429965,0.513833,1.277785,1.185303
220,0.638553,0.271828,0.408034,0.740856,0.578988,0.316148,1.204584,1.281156
222,0.737027,0.771817,0.584592,0.773648,0.735862,0.707356,1.454898,1.784169
224,0.75169,0.452548,0.446514,0.643172,0.674466,0.498796,1.085802,1.273873
226,0.934656,0.478294,0.579016,0.592041,0.664645,0.732436,0.57208,0.641604
228,0.829232,0.34403,0.470193,0.444211,0.48627,0.582345,0.268749,0.222737
230,0.599892,0.218853,0.291276,0.317452,0.273327,0.373549,0.188293,0.156957
232,0.414997,0.159177,0.2034,0.221072,0.267265,0.234278,0.231282,0.200944
234,0.506883,0.319477,0.409657,0.356917,0.497853,0.410406,0.373341,0.294828
236,0.580639,0.606495,0.507674,0.512876,0.486728,0.603249,0.452271,0.507174
238,0.314095,0.211057,0.202651,0.254128,0.179804,0.22017,0.228923,0.232932
240,0.159718,0.053753,0.060466,0.103427,0.061937,0.066847,0.104592,0.100666
242,0.104467,0.02336,0.026647,0.055514,0.045055,0.032432,0.062977,0.051089
244,0.246721,0.042614,0.15453,0.122362,0.231406,0.112416,0.178472,0.10566
246,0.700392,0.75015,0.690308,0.549982,0.75814,0.701225,0.582164,0.505787
248,0.743464,0.625014,0.704471,0.730438,0.705247,0.688615,0.665339,0.646446
250,0.584758,0.676866,0.558721,0.577157,0.492207,0.628967,0.557653,0.649622
252,0.316564,0.277585,0.27169,0.32461,0.240922,0.279097,0.303414,0.361078
254,0.170912,0.095797,0.127064,0.178445,0.116341,0.118824,0.188682,0.220309
256,0.150577,0.095145,0.104994,0.13357,0.131822,0.107672,0.194591,0.203955
258,0.379333,0.205453,0.339619,0.308047,0.42787,0.29025,0.351271,0.276739
260,1.125322,0.850039,1.185885,0.801142,1.542858,1.038347,0.688005,0.51934
262,3.979783,5.275823,5.539828,3.805251,5.956643,5.075448,2.365237,1.944733
264,5.963801,6.57436,6.735881,7.179635,6.627336,6.632926,2.843656,4.604575
266,6.010506,7.563088,6.659782,6.241663,6.06301,7.154624,2.82282,3.958449
268,3.651012,3.810397,3.412628,3.997636,2.992138,3.140481,1.58543,2.165957
270,1.865637,1.487704,1.501312,2.02627,1.01378,1.508692,0.763758,1.135573
272,0.631755,0.257707,0.324138,0.772275,0.35467,0.25374,0.459983,0.565338
274,0.360607,0.209684,0.163713,0.433516,0.315455,0.212638,0.405301,0.83141
276,0.45467,0.222723,0.251909,0.343628,0.446819,0.289681,0.388655,0.728441
278,0.76097,0.362701,0.44514,0.501945,0.53919,0.603957,0.239854,0.426289
280,0.765298,0.312084,0.387213,0.438746,0.484231,0.482746,0.150646,0.2369
282,0.622364,0.264393,0.338121,0.338676,0.325095,0.436859,0.087738,0.133598
284,0.451313,0.200625,0.264976,0.275657,0.314525,0.294023,0.101721,0.118491
286,0.366502,0.270746,0.260148,0.273868,0.26707,0.320171,0.112069,0.157485
288,0.258956,0.185949,0.184534,0.204343,0.21379,0.207977,0.101956,0.117576
290,0.192982,0.106049,0.106382,0.133931,0.120586,0.139479,3.168182,1.484958
292,0.108393,0.031142,0.03221,0.05385,0.066889,0.040547,5.864424,4.803425
294,0.080081,0.016951,0.014371,0.031322,0.031613,0.019587,1.934232,1.342732
296,0.072479,0.013719,0.01064,0.023873,0.026259,0.016507,0.833671,0.594469
298,0.066376,0.009766,0.011028,0.019379,0.024969,0.015495,0.480804,0.297546
300,0.063601,0.013039,0.016077,0.019517,0.028811,0.022777,0.807051,0.414595
302,0.052837,0.010168,0.016438,0.01899,0.024428,0.023374,0.742368,0.751787
304,0.040339,0.008906,0.013081,0.014454,0.016535,0.017381,0.39032,0.41909
306,0.032141,0.004051,0.006325,0.008684,0.009405,0.010112,0.213956,0.132474
308,0.02741,0.003412,0.003718,0.00516,0.008129,0.006561,0.133806,0.08151
310,0.027313,0.003246,0.006381,0.006783,0.012734,0.010681,0.086947,0.048384
312,0.027175,0.003981,0.00781,0.008587,0.011624,0.01444,0.08058,0.064295
314,0.041726,0.006825,0.02207,0.018949,0.032876,0.020641,0.060009,0.055126
316,0.068498,0.06485,0.054599,0.04862,0.059523,0.065918,0.056208,0.057123
318,0.060314,0.038424,0.041989,0.047108,0.046456,0.041629,0.044042,0.042031
320,0.049702,0.042822,0.035858,0.039909,0.030282,0.044833,0.032751,0.035595
322,0.025968,0.007213,0.012457,0.018574,0.013566,0.015065,0.021307,0.022181
324,0.019226,0.004439,0.010404,0.014357,0.014704,0.015398,0.019448,0.020918
326,0.017478,0.004564,0.008267,0.013081,0.012387,0.014288,0.020932,0.026828
328,0.018449,0.00394,0.006922,0.009613,0.009558,0.010986,0.018754,0.020308
330,0.02035,0.003218,0.005188,0.006617,0.007546,0.008018,0.029366,0.024206
332,0.02071,0.00326,0.004813,0.005965,0.00652,0.007186,0.031877,0.024622
334,0.025205,0.00559,0.011583,0.011638,0.015467,0.014163,0.030823,0.025621
336,0.053489,0.025385,0.050437,0.044819,0.072549,0.04432,0.041379,0.034027
338,0.117229,0.146665,0.148718,0.125455,0.153559,0.159496,0.070024,0.07997
340,0.106229,0.114524,0.116855,0.125913,0.124997,0.124581,0.066917,0.083535
342,0.08606,0.108435,0.104509,0.110737,0.091622,0.117312,0.057484,0.080206
344,0.038619,0.027064,0.032099,0.046789,0.025926,0.033722,0.028146,0.04063
346,0.015911,0.005951,0.010529,0.019725,0.009766,0.011319,0.017631,0.022638
348,0.011666,0.003537,0.004356,0.010834,0.007546,0.005077,0.016715,0.022389
350,0.010764,0.003676,0.004411,0.008018,0.009419,0.006575,0.025371,0.025538
352,0.016258,0.006173,0.011167,0.013261,0.018241,0.016299,0.062159,0.049397
354,0.01813,0.00903,0.016535,0.017922,0.021237,0.024275,0.074005,0.064545
356,0.015703,0.007269,0.014232,0.017506,0.017492,0.021584,0.067694,0.059884
358,0.010848,0.005535,0.010029,0.012901,0.011763,0.014898,0.043696,0.042503
360,0.006436,0.002913,0.005438,0.007726,0.007061,0.009128,0.026536,0.026106
362,0.004633,0.001762,0.004078,0.005882,0.005313,0.006547,0.019254,0.021709
364,0.005243,0.001609,0.005382,0.005895,0.008046,0.007616,0.019476,0.025441
366,0.024234,0.007907,0.033181,0.023637,0.040339,0.029824,0.029935,0.031724
368,0.071286,0.091372,0.106867,0.090082,0.115218,0.116868,0.056014,0.070121
370,0.072923,0.088529,0.079041,0.091456,0.094424,0.08237,0.049591,0.06503
372,0.085324,0.112235,0.109184,0.108851,0.111181,0.117298,0.053017,0.068082
374,0.052629,0.057775,0.049355,0.061077,0.036746,0.058677,0.029658,0.045707
376,0.015398,0.008628,0.011555,0.021501,0.009516,0.010501,0.014746,0.019753
378,0.007518,0.003662,0.004425,0.010737,0.006381,0.004952,0.014815,0.019559
380,0.005646,0.00344,0.003052,0.006436,0.006048,0.004064,0.017187,0.018824
382,0.009363,0.003995,0.00609,0.007616,0.009821,0.00781,0.042752,0.032682
384,0.011749,0.006825,0.00688,0.008254,0.009141,0.00996,0.050063,0.043668
386,0.010695,0.003731,0.006145,0.006908,0.008933,0.006561,0.053794,0.033514
388,0.010737,0.004702,0.005632,0.006464,0.005826,0.008531,0.044348,0.036455
390,0.005008,0.001678,0.003052,0.003357,0.003343,0.004009,0.023193,0.017728
392,0.002871,0.001678,0.003204,0.003121,0.004078,0.005077,0.016563,0.015273
394,0.001998,0.001304,0.00258,0.003385,0.004508,0.00541,0.014094,0.014135
396,0.001942,0.001484,0.00197,0.002552,0.002372,0.002788,0.011264,0.010556
398,0.001457,0.000777,0.001651,0.002067,0.002372,0.00319,0.009336,0.009696
400,0.001526,0.000971,0.00129,0.001734,0.001498,0.002039,0.005063,0.005923
402,0.001346,0.000555,0.000832,0.001207,0.001235,0.001124,0.00369,0.004508
404,0.001443,0.000555,0.00129,0.001609,0.001845,0.002317,0.003759,0.005715
406,0.001054,0.000874,0.001803,0.002192,0.003246,0.003537,0.004841,0.005701
408,0.000874,0.001373,0.002441,0.003107,0.003648,0.004938,0.005521,0.007574
410,0.000652,0.000805,0.001984,0.002219,0.002636,0.002941,0.00455,0.006076
