,0,400,800,1200,1600,2000,2400
0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
40,0.000014,0.000014,0,0,0.000014,0.000014,0
42,0.000028,0.000361,0.000028,0.000166,0.000139,0.000097,0.00018
44,0.010099,0.024386,0.007879,0.007449,0.005008,0.000777,0.011666
46,0.469097,0.456377,0.402874,0.268624,0.210516,0.133695,0.230449
48,1.16007,1.162956,1.064786,1.121563,1.045699,0.821284,1.262096
50,0.582234,0.557626,0.698686,0.775896,0.894484,1.24219,0.705664
52,0.046054,0.03454,0.113539,0.074851,0.074366,0.067042,0.05421
54,0.012498,0.018089,0.018865,0.017229,0.016341,0.004161,0.011666
56,0.008947,0.012304,0.006755,0.010945,0.010057,0.008406,0.008448
58,0.008184,0.009974,0.005549,0.010362,0.009571,0.024386,0.009058
60,0.005285,0.006325,0.004411,0.007102,0.007019,0.02207,0.007449
62,0.003246,0.003593,0.002982,0.004078,0.003884,0.003981,0.00351
64,0.003301,0.004397,0.0019,0.002497,0.003038,0.002649,0.002095
66,0.010709,0.012179,0.004564,0.007407,0.010057,0.003662,0.003149
68,0.014912,0.028797,0.010182,0.012568,0.017686,0.007366,0.019212
70,0.028908,0.041643,0.021182,0.034152,0.045596,0.01401,0.027452
72,0.00799,0.007199,0.013039,0.024359,0.020696,0.013885,0.021168
74,0.001401,0.001942,0.002539,0.008254,0.006436,0.004592,0.006381
76,0.000513,0.000888,0.00061,0.00129,0.002011,0.00061,0.001248
78,0.000388,0.000583,0.000222,0.000541,0.000596,0.003551,0.00068
80,0.000305,0.000416,0.000166,0.00061,0.000569,0.000971,0.000347
82,0.000222,0.000486,0.000139,0.000361,0.00043,0.000444,0.000305
84,0.00018,0.000264,0.000222,0.000472,0.000402,0.000277,0.000277
86,0.000166,0.000264,0.000319,0.000638,0.000375,0.000111,0.000194
88,0.000139,0.00018,0.000125,0.000513,0.000291,0.000083,0.000166
90,0.000125,0.000083,0.000139,0.000277,0.00018,0.000153,0.000083
92,0.000069,0.000083,0.000069,0.000222,0.000153,0.000042,0.000083
94,0,0.000028,0.000028,0.000083,0.000083,0.000028,0.000028
96,0.000069,0.000055,0.000028,0.000028,0.000042,0,0.000014
98,0,0.000028,0.000028,0.000042,0.000055,0.000014,0.000028
100,0.000028,0.000055,0,0,0.000014,0.000055,0.000014
102,0.000069,0.000042,0.000069,0.000014,0.000069,0.000097,0.000028
104,0.000055,0.000014,0.000097,0.000111,0.000042,0.000042,0.000097
106,0.00025,0.000083,0.000111,0.000083,0.000055,0.000083,0.000125
108,0.02139,0.012263,0.007144,0.004897,0.002788,0.001484,0.004148
110,0.316259,0.313665,0.364394,0.181066,0.103247,0.083174,0.145444
112,7.838676,8.299311,6.306804,3.701144,2.40258,1.666135,2.26833
114,20.959653,20.610865,17.827523,15.608118,13.085965,10.400945,12.624123
116,6.490021,5.978075,9.817144,11.941681,12.732572,14.924899,12.958998
118,1.415128,1.237821,2.341101,2.677321,3.063077,3.995223,2.724748
120,0.662231,0.702362,0.832728,0.81407,0.815957,0.586368,0.705414
122,0.460829,0.507008,0.503401,0.640217,0.630119,0.552118,0.651911
124,2.329809,1.951308,1.230164,1.668021,1.94415,1.804102,2.614427
126,14.087954,12.936277,8.248249,7.625011,7.803081,7.116769,9.557814
128,9.491924,14.817671,17.408933,16.835729,17.075001,16.820831,17.930215
130,16.248086,15.505399,16.511882,16.745245,18.08043,19.064262,18.044115
132,11.748477,8.854329,9.956596,11.242301,11.376995,12.148118,10.326039
134,1.587774,1.19038,2.637496,3.166989,3.243921,3.976621,2.687614
136,0.388683,0.461315,0.586534,0.662634,0.643643,0.549511,0.535473
138,0.205092,0.294411,0.219463,0.330159,0.338357,0.476809,0.29799
140,0.294717,0.365073,0.17488,0.303733,0.333765,0.477226,0.289473
142,0.437275,0.644823,0.312417,0.49684,0.580514,0.431352,0.457847
144,0.473286,0.665783,0.416981,0.651592,0.814792,0.466655,0.633808
146,0.432822,0.527052,0.263214,0.451563,0.595883,0.267986,0.386602
148,0.182967,0.194758,0.152213,0.250175,0.298032,0.133084,0.172521
150,0.144792,0.146401,0.12386,0.153559,0.171204,0.145971,0.143641
152,0.107408,0.110155,0.093023,0.117853,0.128895,0.126426,0.124526
154,0.055833,0.061881,0.058122,0.066168,0.077404,0.064115,0.073908
156,0.064004,0.057567,0.068609,0.067208,0.068526,0.05969,0.059121
158,0.188238,0.171426,0.17807,0.173146,0.169234,0.175171,0.162811
160,0.269623,0.267584,0.254655,0.271301,0.282315,0.319394,0.3039
162,0.124637,0.125746,0.122639,0.131364,0.136483,0.130587,0.127883
164,0.079013,0.077265,0.076363,0.075004,0.068484,0.064545,0.061867
166,0.085921,0.084936,0.080192,0.084298,0.084381,0.105424,0.081732
168,0.061507,0.06091,0.061743,0.06435,0.063019,0.081454,0.061756
170,0.034693,0.038355,0.039118,0.03737,0.037814,0.03737,0.034929
172,0.025191,0.028603,0.030656,0.028895,0.030476,0.031239,0.026578
174,0.036982,0.037273,0.039257,0.038216,0.038549,0.037093,0.035983
176,0.05532,0.05722,0.051394,0.056846,0.06005,0.065585,0.062464
178,0.021917,0.023748,0.022874,0.023984,0.024691,0.023804,0.022958
180,0.013844,0.014052,0.014857,0.014815,0.014107,0.011694,0.012734
182,0.019545,0.019614,0.021723,0.02311,0.023956,0.022403,0.024567
184,0.020114,0.020155,0.020821,0.022,0.02139,0.021792,0.021196
186,0.016188,0.017395,0.01752,0.016355,0.01666,0.016133,0.015356
188,0.013899,0.014593,0.012942,0.013039,0.014468,0.015176,0.015009
190,0.010529,0.010001,0.009169,0.010418,0.011416,0.012693,0.012013
192,0.008919,0.008351,0.006991,0.007602,0.007837,0.00824,0.006811
194,0.005979,0.00498,0.003829,0.004106,0.0043,0.004134,0.003981
196,0.003759,0.003135,0.004647,0.00437,0.004078,0.00326,0.00412
198,0.005826,0.006506,0.008725,0.008739,0.007616,0.008309,0.008767
200,0.011361,0.012263,0.012942,0.013941,0.012276,0.012512,0.01297
202,0.01487,0.013622,0.014274,0.013123,0.012748,0.013261,0.012471
204,0.010806,0.011347,0.00928,0.008975,0.00989,0.011028,0.01082
206,0.007324,0.006936,0.006755,0.006645,0.007158,0.008073,0.007394
208,0.006658,0.005604,0.004661,0.003967,0.00394,0.004189,0.003759
210,0.00369,0.003371,0.002428,0.0024,0.002164,0.001956,0.001887
212,0.00197,0.001873,0.002219,0.001706,0.001845,0.001734,0.001581
214,0.002122,0.002566,0.003204,0.003343,0.003371,0.002899,0.00326
216,0.003745,0.003912,0.004439,0.004467,0.004037,0.004064,0.003884
218,0.003912,0.004342,0.003412,0.003607,0.003995,0.00369,0.003773
220,0.003107,0.002705,0.002289,0.0019,0.002192,0.002136,0.002511
222,0.001817,0.00172,0.001845,0.001748,0.001665,0.001998,0.001581
224,0.001595,0.00129,0.000846,0.00111,0.000749,0.000791,0.00086
226,0.00086,0.00068,0.000555,0.000486,0.000388,0.000375,0.000458
228,0.000583,0.000402,0.000305,0.000333,0.000333,0.000388,0.000347
230,0.000277,0.000555,0.000388,0.000416,0.000541,0.000388,0.000583
232,0.000402,0.000416,0.000333,0.000583,0.000444,0.00043,0.000444
234,0.000305,0.00025,0.000236,0.000208,0.000125,0.000153,0.000194
236,0.000125,0.000166,0.000139,0.00018,0.000139,0.000125,0.000042
238,0.000028,0.000028,0.000042,0.000028,0.000069,0.000125,0.000069
240,0.000125,0.000042,0.000055,0.000055,0.000055,0.000069,0.000055
242,0.000083,0.000028,0.000069,0.000055,0.000125,0.000042,0
244,0.000069,0.000125,0.000028,0.000042,0.000028,0.000097,0.000139
246,0.000042,0.000083,0.000166,0.000069,0.000111,0.000125,0.000097
248,0.000083,0.000125,0.000111,0.000042,0.000111,0.000042,0.000139
250,0.000028,0.000042,0.000055,0.000055,0.000153,0.000014,0.000014
252,0.000097,0.000042,0.000014,0.000097,0.000055,0.000097,0.000028
254,0.000028,0.000014,0.000028,0.000014,0.000042,0.000055,0.000069
256,0.000042,0.000014,0.000028,0.000042,0.000042,0.000028,0.000014
258,0.000014,0,0.000028,0.000014,0.000014,0.000014,0.000028
260,0.000028,0.000014,0.000055,0.000028,0.000055,0.000055,0.000028
262,0.000014,0.000014,0.000014,0.000055,0.000014,0,0.000055
264,0.000028,0.000014,0.000014,0,0,0.000028,0.000028
266,0.000042,0.000014,0.000028,0.000014,0.000028,0.000014,0.000028
268,0.000042,0.000042,0.000042,0.000028,0.000055,0,0.000014
270,0,0,0.000014,0,0.000014,0,0
272,0.000014,0,0.000042,0.000055,0.000042,0,0.000042
274,0.000028,0.000014,0.000014,0.000042,0,0.000014,0.000014
276,0.000028,0.000014,0.000028,0.000028,0.000042,0.000014,0.000042
278,0.000042,0,0.000055,0.000055,0.000028,0.000028,0.000014
280,0.000042,0.000014,0.000042,0,0.000069,0,0.000028
282,0.000014,0.000014,0.000028,0.000042,0.000014,0.000014,0.000014
284,0.000014,0.000014,0.000055,0,0,0,0
286,0.000014,0.000014,0.000028,0,0.000014,0,0.000014
288,0,0,0,0.000014,0.000014,0,0
290,0,0,0.000014,0,0,0,0
292,0.000014,0.000069,0.000014,0,0.000055,0.000014,0.000014
294,0,0.000014,0,0,0,0,0
296,0,0,0.000042,0.000014,0,0,0.000014
298,0.000014,0,0,0.000028,0.000028,0,0
300,0.000042,0,0.000014,0.000014,0,0.000014,0.000028
302,0,0,0.000014,0.000028,0.000014,0,0.000014
304,0,0.000014,0,0,0.000014,0,0.000014
306,0.000014,0,0,0.000028,0,0,0
308,0,0,0.000014,0,0,0,0.000014
310,0,0,0,0.000014,0,0,0
312,0.000014,0.000014,0,0.000014,0,0,0.000014
314,0,0.000028,0,0.000014,0.000014,0,0.000014
316,0,0,0.000028,0.000014,0,0,0.000014
318,0.000014,0,0,0,0,0,0
320,0,0,0.000028,0.000014,0,0.000014,0
322,0,0,0,0.000014,0.000014,0,0
324,0,0,0,0,0,0,0.000014
326,0.000014,0,0,0,0.000014,0,0
328,0,0,0.000014,0.000014,0,0,0.000014
330,0,0,0.000014,0.000014,0,0,0
332,0,0,0,0.000014,0,0.000014,0
334,0,0,0,0.000014,0,0,0
336,0,0.000028,0.000014,0.000014,0,0,0.000014
338,0,0,0.000014,0,0,0,0
340,0,0,0,0,0.000014,0,0
342,0,0,0,0,0,0,0
344,0,0,0,0.000014,0.000014,0,0
346,0,0.000014,0.000028,0.000014,0,0.000014,0.000014
348,0.000014,0,0,0,0,0,0
350,0.000014,0,0,0,0,0,0
352,0,0,0,0,0.000014,0.000014,0.000014
354,0,0.000014,0.000014,0.000014,0,0,0.000014
356,0,0,0,0,0.000028,0,0
358,0.000014,0,0.000014,0,0,0,0
360,0.000014,0,0,0.000014,0.000028,0,0
362,0,0,0,0.000014,0,0,0
364,0,0,0,0,0,0,0
366,0,0.000014,0,0,0,0,0.000014
368,0,0,0,0.000014,0,0,0
370,0,0,0,0.000014,0,0,0
372,0,0,0,0.000014,0,0,0
374,0,0,0,0,0,0,0
376,0,0,0,0,0.000014,0,0
378,0,0.000014,0,0.000014,0,0,0
380,0,0,0,0,0,0,0
382,0,0,0.000014,0,0,0,0
384,0,0,0.000014,0,0,0,0
386,0,0.000014,0,0.000014,0,0,0
388,0,0,0,0,0.000014,0,0
390,0,0.000014,0,0,0,0,0.000014
392,0,0,0,0,0.000014,0,0.000014
394,0,0.000014,0,0,0,0,0
396,0,0,0,0,0,0,0.000014
398,0.000014,0.000014,0,0,0,0,0.000028
400,0,0,0.000014,0,0,0,0
402,0,0.000014,0.000042,0.000014,0,0,0
404,0.000014,0.000014,0,0,0.000014,0,0
406,0.000028,0,0,0,0,0,0
408,0.000014,0.000014,0,0,0.000014,0.000014,0
410,0,0,0,0.000014,0,0.000014,0
412,0.000014,0,0,0.000042,0,0,0
414,0,0.000014,0,0.000028,0.000014,0,0
416,0,0,0.000014,0.000014,0.000028,0,0.000014
418,0,0,0.000014,0.000042,0,0,0
420,0,0,0,0,0.000014,0,0
422,0,0.000014,0.000028,0,0,0,0
424,0,0,0,0.000014,0,0,0
426,0,0,0,0,0.000014,0,0.000028
428,0,0,0.000014,0,0.000014,0.000028,0
430,0.000014,0,0.000028,0.000014,0,0,0
432,0,0,0,0,0,0,0
434,0,0.000014,0,0.000014,0,0,0
436,0,0,0.000028,0,0,0.000028,0
438,0,0,0,0,0,0.000014,0.000014
440,0,0.000014,0.000042,0,0,0,0
442,0,0,0,0.000014,0,0,0
444,0,0,0,0.000042,0.000028,0,0.000014
446,0,0.000028,0.000014,0.000014,0.000042,0.000014,0.000069
448,0,0,0.000111,0.000111,0.000083,0.000014,0.000388
450,0,0.000014,0.000069,0.000291,0.000333,0.000166,0.000735
452,0,0.000014,0.000208,0.000333,0.000472,0.000236,0.00104
454,0,0,0.000305,0.000375,0.000583,0.000499,0.000985
456,0,0.000042,0.000361,0.000458,0.000499,0.000472,0.001165
458,0,0,0.000361,0.000513,0.000763,0.00061,0.001137
460,0,0.000028,0.000333,0.000458,0.000527,0.000416,0.000832
462,0.000014,0.000014,0.00018,0.00025,0.00043,0.000402,0.000569
464,0,0,0.000208,0.000208,0.000277,0.000222,0.000555
466,0,0.000028,0.000194,0.000139,0.00018,0.000333,0.000486
468,0,0,0.000055,0.000083,0.000111,0.000388,0.000333
470,0,0.000014,0.000042,0.000055,0.000125,0.000499,0.000222
472,0,0,0.000028,0.000055,0.000055,0.000513,0.000264
474,0,0,0.000028,0.000042,0.000097,0.000416,0.000125
476,0,0,0.000097,0.000042,0.000042,0.000555,0.000083
478,0,0,0.000028,0.000014,0.000028,0.000361,0.000083
480,0.000014,0,0,0.000055,0.000069,0.000208,0.000042
482,0,0,0.000014,0,0.000014,0.000194,0.000083
484,0,0.000028,0,0.000028,0.000042,0.000236,0.000042
486,0.000014,0,0.000028,0.000014,0.000028,0.000139,0.000111
488,0,0.000028,0,0.000028,0.000014,0.000125,0.000097
490,0,0,0.000014,0.000014,0.000028,0.000166,0.000028
492,0,0.000014,0,0.000014,0.000014,0.000125,0.000055
494,0,0.000014,0,0,0,0.000097,0
496,0,0,0,0,0.000014,0.000111,0.000042
498,0,0,0,0.000014,0.000028,0.000028,0.000083
500,0,0,0,0.000014,0,0.000042,0.000028
502,0,0,0,0,0.000014,0.000069,0.000014
504,0,0,0,0.000028,0.000014,0.000055,0
506,0,0,0,0.000014,0.000028,0.000028,0.000014
508,0,0,0,0,0.000014,0.000028,0.000028
510,0,0,0.000014,0.000028,0,0,0
512,0,0,0.000014,0.000014,0.000028,0.000028,0
514,0,0,0.000014,0,0.000028,0.000014,0.000042
516,0,0,0,0.000028,0.000028,0.000014,0.000014
518,0,0,0.000042,0,0.000014,0,0.000014
520,0,0,0,0.000014,0.000014,0,0.000014
522,0,0,0,0.000055,0.000055,0,0.000014
524,0,0,0,0.000014,0.000042,0,0.000042
526,0,0,0,0.000042,0.000042,0,0.000042
528,0,0.000014,0,0.000055,0.000028,0.000014,0.000055
530,0.000014,0,0,0.000083,0.000028,0,0.000055
532,0.000014,0,0,0.000125,0.000097,0,0.000055
534,0,0,0,0.000153,0.000055,0.000014,0.000042
536,0,0,0.000014,0.000125,0.000042,0,0.000055
538,0,0.000014,0,0.000097,0.000083,0.000014,0.000069
540,0,0,0,0.000028,0.000055,0.000014,0.000014
542,0.000014,0,0,0.000055,0.000028,0.000042,0.000042
544,0,0,0,0.000055,0.000014,0,0.000028
546,0,0.000014,0,0.000042,0.000069,0.000014,0.000014
548,0,0,0,0.000055,0.000055,0.000042,0.000055
550,0,0,0.000014,0.000083,0.000042,0,0.000069
552,0,0,0,0.000042,0.000028,0,0.000055
554,0,0,0.000014,0.000055,0,0.000028,0.000028
556,0,0,0.000014,0.000014,0,0,0.000028
558,0,0,0,0.000014,0.000014,0.000014,0.000014
560,0,0,0,0.000014,0,0,0.000014
562,0,0,0,0,0,0,0
564,0,0,0,0.000014,0.000014,0,0.000014
566,0,0,0,0,0.000014,0,0.000042
568,0,0,0,0,0,0,0
570,0,0,0.000014,0,0,0,0
572,0,0,0,0,0.000014,0,0
574,0,0,0,0,0,0,0
576,0,0,0.000028,0,0,0.000014,0.000014
578,0,0,0.000014,0,0,0.000014,0
580,0,0,0,0,0,0,0
582,0,0,0.000028,0,0,0,0
584,0,0,0,0,0.000028,0,0
586,0,0,0.000028,0,0.000014,0.000014,0
588,0,0.000014,0,0.000014,0.000014,0.000014,0
590,0,0,0,0,0.000014,0.000014,0
592,0,0,0,0.000014,0,0.000042,0
594,0,0.000014,0,0,0,0,0
596,0,0,0,0.000028,0,0.000028,0
598,0,0,0,0,0.000014,0,0
600,0.000014,0,0,0,0,0.000028,0
602,0,0,0.000014,0,0,0,0
604,0,0,0,0.000014,0,0,0
606,0.000014,0,0.000042,0,0,0,0
608,0,0.000014,0,0,0,0.000014,0.000028
610,0,0,0,0.000014,0.000014,0,0.000014
612,0,0,0,0,0,0,0.000028
614,0,0,0.000014,0,0,0,0
616,0,0,0.000014,0,0,0.000014,0
618,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0
622,0,0,0,0.000014,0,0,0
624,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0.000014
628,0,0,0.000014,0,0,0,0
630,0,0,0.000014,0,0,0,0
632,0,0,0,0,0,0,0
634,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0
638,0,0,0,0,0,0,0
640,0,0,0,0,0,0,0
642,0,0,0,0,0.000014,0,0
644,0,0,0,0,0,0,0
646,0,0,0.000014,0,0.000014,0,0
648,0,0,0.000014,0,0,0,0
650,0,0,0,0,0,0,0
652,0,0.000014,0,0,0,0,0
654,0,0,0.000014,0,0,0,0
656,0,0,0,0,0,0,0
658,0,0,0,0,0,0,0
660,0,0,0,0,0,0,0.000014
662,0,0,0,0,0,0,0
664,0,0,0,0,0,0,0
666,0,0,0,0,0,0,0.000028
668,0,0,0,0,0,0,0
670,0,0.000014,0,0,0.000014,0,0
672,0,0,0.000014,0,0,0,0
674,0.000014,0,0,0,0,0,0
676,0,0,0,0,0,0,0
678,0,0,0.000014,0,0,0.000014,0
680,0,0,0,0,0,0.000014,0
682,0,0,0,0,0,0,0.000014
684,0,0,0,0,0,0,0
686,0,0,0.000014,0,0,0.000014,0.000042
688,0,0,0.000014,0,0,0,0.000014
690,0,0,0.000014,0,0,0.000014,0
692,0,0,0,0,0.000014,0,0.000014
694,0,0,0,0.000014,0,0,0
696,0,0,0,0.000014,0,0,0
698,0,0,0,0,0,0,0
700,0,0.000014,0,0,0,0.000014,0
702,0,0,0,0,0,0,0
704,0,0.000014,0,0,0,0,0
706,0,0,0.000014,0.000014,0,0,0.000028
708,0,0,0,0,0.000014,0,0.000014
710,0,0,0,0,0,0,0
712,0,0,0,0,0,0,0
714,0,0,0,0.000014,0,0,0
716,0,0,0,0,0,0,0.000014
718,0,0,0,0,0.000014,0,0
720,0,0,0,0,0,0,0.000014
722,0,0,0,0,0,0,0
724,0,0,0,0,0,0,0
726,0,0,0,0,0,0,0
728,0,0,0.000014,0.000014,0,0,0.000014
730,0.000014,0,0.000014,0,0.000028,0.000014,0
732,0,0,0,0.000028,0,0,0
734,0,0,0,0,0,0,0.000028
736,0,0,0,0,0,0,0
738,0,0,0,0,0,0,0
740,0,0,0,0.000014,0,0,0
742,0,0,0,0,0,0,0
744,0,0,0,0,0.000014,0,0
746,0,0,0.000014,0,0,0,0
748,0,0,0,0,0,0,0
750,0,0,0,0,0,0.000014,0
752,0,0,0,0,0,0,0
754,0,0,0,0,0,0,0
756,0,0,0,0,0,0,0
758,0,0,0.000014,0,0,0,0
760,0,0,0,0,0.000014,0,0
762,0,0,0.000014,0,0,0.000014,0
764,0,0.000014,0,0,0,0,0
766,0,0,0,0,0,0,0.000014
768,0,0,0,0,0,0,0
770,0,0,0,0,0,0,0
772,0,0,0.000014,0,0,0,0.000014
774,0,0,0,0,0,0,0
776,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0
780,0,0,0,0,0,0,0
782,0.000014,0,0.000014,0,0.000014,0,0
784,0,0,0,0,0,0,0.000014
786,0,0,0,0,0,0.000014,0
788,0,0,0,0,0,0,0
790,0,0,0.000014,0,0.000014,0,0
792,0,0,0,0,0,0,0
794,0,0,0.000014,0,0,0,0
796,0,0,0,0,0,0,0
798,0,0,0,0.000014,0,0,0
